AABA,10-Oct-18,60.12,60.49,58.2,58.41,-2.84,16612400
AAL,10-Oct-18,33.33,33.4,31.59,31.61,-5.16,20539000
AAME,10-Oct-18,2.68,2.68,2.565,2.6,-2.99,2900
AAOI,10-Oct-18,22.38,22.528,21.255,21.32,-4.74,1003300
AAON,10-Oct-18,34,34.43,32.9,33,-2.94,199000
AAPL,10-Oct-18,225.46,226.35,216.05,216.36,-4.04,41990500
AAWW,10-Oct-18,55.96,56.2,52.91,53.72,-4.00,566200
AAXJ,10-Oct-18,65.44,65.49,63.9,63.9,-2.35,2743200
AAXN,10-Oct-18,62.28,62.28,57.54,57.66,-7.42,1078500
ABAC,10-Oct-18,1.91,1.97,1.73,1.9,-0.52,12500
ABCB,10-Oct-18,45.54,45.9,44.705,44.83,-1.56,238400
ABCD,10-Oct-18,11.59,11.925,11.55,11.77,1.55,143900
ABDC,10-Oct-18,6,6.05,6,6,0.00,78600
ABEO,10-Oct-18,10.74,10.77,9.66,10.03,-6.61,1080700
ABEOW,10-Oct-18,5.3,5.3,5.1,5.27,-0.57,4600
ABIL,10-Oct-18,3.31,3.38,3.03,3.1,-6.34,43700
ABIO,10-Oct-18,0.59,0.61,0.58,0.585,-0.85,251100
ABMD,10-Oct-18,394.64,396.99,375.61,376.89,-4.50,866000
ABTX,10-Oct-18,41.74,42.56,41.44,41.46,-0.67,38100
ABUS,10-Oct-18,5.94,6.105,4.06,4.57,-23.06,3425000
ACAD,10-Oct-18,21.02,21.22,20.15,20.24,-3.71,1955400
ACBI,10-Oct-18,16.93,17.55,16.59,16.64,-1.71,196300
ACER,10-Oct-18,28.27,28.97,27.11,27.11,-4.10,13200
ACET,10-Oct-18,2.24,2.31,2.21,2.27,1.34,386500
ACGL,10-Oct-18,28.79,28.9,28.065,28.09,-2.43,1198900
ACGLO,10-Oct-18,22.44,22.44,21.95,22.29,-0.67,45600
ACGLP,10-Oct-18,22.16,22.23,21.7,22.06,-0.45,90400
ACHC,10-Oct-18,38.41,38.48,36.22,36.55,-4.84,2844400
ACHN,10-Oct-18,3.27,3.32,3,3.01,-7.95,1261900
ACHV,10-Oct-18,2.44,2.51,2.25,2.38,-2.46,336100
ACIA,10-Oct-18,37.72,38,35.97,36.51,-3.21,530700
ACIU,10-Oct-18,8.08,8.45,7.5,7.98,-1.24,74400
ACIW,10-Oct-18,26.33,26.33,25.17,25.24,-4.14,609500
ACLS,10-Oct-18,17.45,17.915,17.21,17.33,-0.69,314000
ACMR,10-Oct-18,11.09,11.09,10.25,10.31,-7.03,30800
ACNB,10-Oct-18,37.06,37.49,36.25,36.56,-1.35,7700
ACOR,10-Oct-18,16.3,17.29,16.3,16.67,2.27,1316300
ACRS,10-Oct-18,13.02,13.38,12.92,13.16,1.08,225000
ACRX,10-Oct-18,2.48,3.93,2.43,3.595,44.96,30444800
ACST,10-Oct-18,1.22,1.26,1.1,1.14,-6.56,745500
ACT,10-Oct-18,27.1,27.1,26.49,26.49,-2.25,8300
ACTG,10-Oct-18,3.15,3.16,3,3.1,-1.59,570400
ACWI,10-Oct-18,72.44,72.44,70.49,70.58,-2.57,8818400
ACWX,10-Oct-18,45.9,45.92,44.93,44.99,-1.98,1216200
ADAP,10-Oct-18,13.21,13.62,12.45,12.46,-5.68,564900
ADBE,10-Oct-18,252.52,253.38,237.86,237.91,-5.79,5309300
ADES,10-Oct-18,11.39,11.585,11.3,11.3,-0.79,60300
ADI,10-Oct-18,85.46,86.04,83.18,83.9,-1.83,8524000
ADIL,10-Oct-18,2.88,2.88,2.6,2.6,-9.72,7200
ADMA,10-Oct-18,5.93,5.99,5.64,5.7,-3.88,166700
ADMP,10-Oct-18,3.03,3.07,2.86,2.9,-4.29,629500
ADMS,10-Oct-18,17.46,17.69,16.91,16.99,-2.69,569900
ADOM,10-Oct-18,0.52,0.54,0.5,0.5,-3.85,344200
ADP,10-Oct-18,150.26,150.46,141.57,141.78,-5.64,2834900
ADRA,10-Oct-18,30.62,30.66,30.2,30.2,-1.37,2200
ADRD,10-Oct-18,21.8,21.82,21.62,21.62,-0.83,21300
ADRE,10-Oct-18,38.89,38.89,37.83,37.83,-2.73,11100
ADRO,10-Oct-18,6.45,6.71,6.395,6.44,-0.16,401100
ADRU,10-Oct-18,21.07,21.1,21.05,21.05,-0.09,7500
ADSK,10-Oct-18,141.66,141.99,133.34,133.5,-5.76,3865600
ADTN,10-Oct-18,17.56,17.58,17.015,17.06,-2.85,212300
ADUS,10-Oct-18,67.89,68.1,66.66,67.19,-1.03,103000
ADVM,10-Oct-18,5.71,5.72,5.09,5.11,-10.51,687500
